Age,Gender,Height_cm,Weight_kg,BMI,Fitness_Status
55,Female,190,90,24.93,Unfit
48,Female,155,53,22.06,Fit
18,Male,174,73,24.11,Fit
48,Female,182,69,20.83,Fit
40,Female,163,85,31.99,Unfit
54,Female,155,78,32.47,Unfit
23,Female,190,76,21.05,Fit
32,Female,159,64,25.32,Unfit
24,Female,187,57,16.3,Unfit
48,Female,183,70,20.9,Fit
50,Male,190,78,21.61,Fit
35,Male,186,53,15.32,Unfit
51,Female,154,64,26.99,Unfit
54,Female,183,67,20.01,Fit
28,Male,169,57,19.96,Fit
32,Male,176,53,17.11,Unfit
18,Male,160,86,33.59,Unfit
57,Male,182,90,27.17,Unfit
29,Male,175,54,17.63,Unfit
53,Female,169,77,26.96,Unfit
41,Female,173,61,20.38,Fit
37,Female,161,60,23.15,Fit
51,Male,174,64,21.14,Fit
60,Male,179,70,21.85,Fit
23,Female,168,62,21.97,Fit
48,Female,184,53,15.65,Unfit
60,Male,188,65,18.39,Unfit
42,Female,150,84,37.33,Unfit
52,Male,163,84,31.62,Unfit
33,Female,168,70,24.8,Fit
22,Male,174,66,21.8,Fit
30,Female,165,97,35.63,Unfit
49,Female,159,51,20.17,Fit
59,Male,158,47,18.83,Fit
26,Male,163,80,30.11,Unfit
57,Male,157,97,39.35,Unfit
33,Male,163,96,36.13,Unfit
38,Female,170,95,32.87,Unfit
29,Female,189,79,22.12,Fit
22,Female,190,66,18.28,Unfit
26,Female,152,67,29.0,Unfit
27,Female,187,64,18.3,Unfit
33,Male,189,48,13.44,Unfit
31,Female,184,86,25.4,Unfit
28,Female,153,47,20.08,Fit
47,Female,169,47,16.46,Unfit
54,Female,177,46,14.68,Unfit
60,Male,150,92,40.89,Unfit
42,Male,185,69,20.16,Fit
18,Female,152,95,41.12,Unfit
27,Female,180,96,29.63,Unfit
32,Female,155,49,20.4,Fit
40,Male,164,75,27.89,Unfit
49,Male,153,71,30.33,Unfit
21,Male,168,74,26.22,Unfit
30,Male,161,87,33.56,Unfit
28,Male,169,50,17.51,Unfit
45,Male,189,45,12.6,Unfit
59,Male,180,96,29.63,Unfit
37,Male,163,47,17.69,Unfit
27,Male,158,97,38.86,Unfit
38,Male,165,56,20.57,Fit
32,Male,171,56,19.15,Fit
43,Male,186,73,21.1,Fit
30,Female,173,74,24.73,Fit
50,Female,168,65,23.03,Fit
52,Male,153,64,27.34,Unfit
49,Male,157,86,34.89,Unfit
18,Female,187,66,18.87,Fit
28,Male,170,81,28.03,Unfit
34,Male,157,67,27.18,Unfit
35,Male,181,45,13.74,Unfit
35,Male,175,92,30.04,Unfit
45,Female,150,47,20.89,Fit
53,Female,163,100,37.64,Unfit
22,Female,174,93,30.72,Unfit
21,Female,169,46,16.11,Unfit
60,Male,176,64,20.66,Fit
19,Male,183,81,24.19,Fit
36,Male,151,63,27.63,Unfit
51,Female,177,48,15.32,Unfit
31,Male,150,95,42.22,Unfit
25,Female,151,94,41.23,Unfit
46,Female,160,79,30.86,Unfit
49,Male,180,59,18.21,Unfit
44,Male,190,73,20.22,Fit
22,Male,187,86,24.59,Fit
31,Male,184,68,20.09,Fit
45,Male,173,64,21.38,Fit
57,Female,190,98,27.15,Unfit
46,Female,163,73,27.48,Unfit
25,Female,176,84,27.12,Unfit
22,Female,186,97,28.04,Unfit
41,Female,177,86,27.45,Unfit
40,Female,176,83,26.79,Unfit
45,Male,167,77,27.61,Unfit
23,Female,178,82,25.88,Unfit
28,Male,189,69,19.32,Fit
48,Male,156,45,18.49,Unfit
44,Male,157,89,36.11,Unfit
40,Female,175,86,28.08,Unfit
24,Male,161,98,37.81,Unfit
44,Male,153,95,40.58,Unfit
29,Female,166,46,16.69,Unfit
19,Male,174,84,27.74,Unfit
48,Male,170,53,18.34,Unfit
43,Male,179,85,26.53,Unfit
